course_id,status,details
38,Success,"[Reg] Komputer & Masyarakat (A,B,C) Gasal 2016/2017"
39,Success,"[Reg] MPKT-B (A,B,C,D,E,F,G) - Gasal 2016/2017"
40,Success,[KI] Physics 1 - Gasal 2016/2017
41,Success,[KI] Programming Found 1  -  Gasal 2016/2017
42,Success,[KI] 2016 Gasal Introduction to Digital Systems
43,Success,[KI] Discrete Mathematics 1  -  Gasal 2016/2017
44,Success,[KI] Statistics  -  Gasal 2016/2017
45,Error,This course is currently unavailable to students
46,Success,[KI] Linear Algebra  -  Gasal 2016/2017
47,Success,[KI] IT Project  -  Gasal 2016/2017
48,Success,[KI] Intelligent Systems  -  Gasal 2016/2017
49,Success,[KI] Scientific Computing  -  Gasal 2016/2017
50,Error,This course is currently unavailable to students
51,Success,[KI] Mathematics 1  -  Gasal 2016/2017
52,Success,[Reg] Pemrograman Fungsional  -  Gasal 2016/2017
53,Success,"[Reg] 2016 Gasal Pengantar Sistem Dijital (A,B,C)"
54,Success,"[Reg] Matematika Dasar 2 (A,B)  -  Gasal 2016/2017"
55,Success,"[Reg] Pengantar Organisasi Komputer (B,C)  -  Gasal 2016/2017"
56,Success,"[Reg] Pemrograman Sistem (A,B,C)  -  Gasal 2016/2017"
57,Success,"[Reg] Sistem Cerdas (A,B,C)  -  Gasal 2016/2017"
58,Success,[Reg] Bioinformatika  -  Gasal 2016/2017
59,Success,[Reg] Pengolahan Citra  -  Gasal 2016/2017
60,Error,This course is currently unavailable to students
61,Success,[Reg] Embedded Systems  -  Gasal 2016/2017
62,Success,[Reg] Basis Data Lanjut  -  Gasal 2016/2017
63,Success,[Reg] Teknik Kompilator  -  Gasal 2016/2017
64,Success,[Reg] Desain & Analisis Algoritma (A)  -  Gasal 2016/2017
65,Success,[Reg] Game Development  -  Gasal 2016/2017
66,Success,[Reg] Penjaminan Mutu Perangkat Lunak  -  Gasal 2016/2017
67,Success,[Reg] Komputasi Lunak  -  Gasal 2016/2017
68,Success,[Reg] Perolehan Informasi  -  Gasal 2016/2017
69,Success,[Reg] Semantic Web  -  Gasal 2016/2017
70,Success,[Reg] Logika Komputasional  -  Gasal 2016/2017
71,Success,[Reg] Sistem Terdistribusi  -  Gasal 2016/2017
72,Success,[Reg] Ubiquitous & Net - Centric Computing  -  Gasal 2016/2017
73,Error,This course is currently unavailable to students
74,Success,[Reg] Sistem Informasi Geografis  -  Gasal 2016/2017
75,Success,[Eks] Analisis dan Perancangan Sistem  -  Gasal 2016/2017
76,Success,[Eks] Dasar - dasar Pemrograman 1 - Gasal 2016/2017
77,Success,[Eks] Dasar - dasar Pemrograman 2 - Gasal 2016/2017
78,Error,This course is currently unavailable to students
79,Error,This course is currently unavailable to students
80,Success,[Eks] Komputer & Masyarakat - Gasal 2016/2017
81,Success,[Eks] Sistem Interaksi - Gasal 2016/2017
82,Success,[Eks] Administrasi Bisnis - Gasal 2016/2017
83,Success,[Eks] Prinsip - Prinsip Sistem Informasi - Gasal 2016/2017
84,Success,[Eks] Dasar - Dasar Arsitektur Komputer - Gasal 2016/2017
85,Success,[Eks] Prinsip - Prinsip Manajemen - Gasal 2016/2017
86,Success,[Eks] Manajemen Proyek TI - Gasal 2016/2017
87,Success,[Eks] Jaringan Komunikasi Data - Gasal 2016/2017
88,Success,[Eks] Metodologi Penelitian & Penulisan Ilmiah - Gasal 2016/2017
89,Success,[Eks] Manajemen Keamanan Informasi - Gasal 2016/2017
90,Success,[Eks] Dasar - Dasar Audit SI - Gasal 2016/2017
91,Error,This course is currently unavailable to students
92,Success,"Reg [SI] Pemrograman Skala Enterprise (A,B,C) - Gasal 2016/2017"
93,Success,"Reg [SI] Analisis dan Perancangan Sistem (B,C) - Gasal 2016/2017"
94,Success,Reg [SI] Pengelolaan Data Besar - Gasal 2016/2017
95,Success,"Reg [SI] Sistem Interaksi (A,B,C,D) - Gasal 2016/2017"
96,Success,"Reg [SI] Dasar - Dasar Arsitektur Komputer (B,C) - Gasal 2016/2017"
97,Success,"Reg [SI] Prinsip - Prinsip Manajemen (A,B,C) - Gasal 2016/2017"
98,Success,"Reg [SI] Manajemen Proyek TI (A,B,C) - Gasal 2016/2017"
99,Success,"Reg [SI] Jaringan Komunikasi Data (A,B,C) - Gasal 2016/2017"
100,Success,Reg [SI] Customer Relationship Management (A) - Gasal 2016/2017
101,Success,Reg [SI] Manajemen Sumber Daya Manusia (A) - Gasal 2016/2017
102,Success,Reg [SI] E - Commerce - Gasal 2016/2017
103,Success,Reg [SI] Komunikasi Bisnis dan Teknis - Gasal 2016/2017
104,Success,"Reg [SI] Sistem Informasi Akuntansi dan Keuangan (A,B,C) - Gasal 2016/2017"
105,Success,Reg [SI] Manajemen Keamanan Informasi - Gasal 2016/2017
106,Success,Reg [SI] Teknologi Mobile (A) - Gasal 2016/2017
107,Success,"Reg [SI] Manajemen Sistem Informasi (A,B) - Gasal 2016/2017"
108,Success,Reg [SI] Business Intelligence - Gasal 2016/2017
109,Success,Reg [SI] Topik Khusus Bidang Minat Sistem Enterprises - Gasal 2016/2017
110,Success,"Reg [SI] Technopreneurship (A,B) - Gasal 2016/2017"
111,Error,This course is currently unavailable to students
112,Error,This course is currently unavailable to students
113,Success,[MIK] Metodologi Penelitian (A) - Gasal 2016/2017
114,Success,[MIK] Pengolahan Citra Lanjut - Gasal 2016/2017
115,Success,[MIK] Verifikasi Perangkat Lunak Lanjut - Gasal 2016/2017
116,Success,[MIK] Komputasi Paralel Lanjut - Gasal 2016/2017
117,Success,[MIK] Kecerdasan Buatan Lanjut - Gasal 2016/2017
118,Success,[MIK] Pemelajaran Mesin Lanjut - Gasal 2016/2017
119,Success,[MIK] Jaringan Komputer Lanjut - Gasal 2016/2017
120,Success,[MIK] Manajemen Pengetahuan Lanjut - Gasal 2016/2017
121,Success,[MIK] Rekayasa Perangkat Lunak Lanjut - Gasal 2016/2017
122,Success,[MIK] E - Business & E - Government Lanjut - Gasal 2016/2017
123,Success,[Reg] Pengajaran Berbantuan Komputer (Gabungan)-  Gasal 2016/2017
124,Success,2022-2 TESTING3
125,Error,This course is currently unavailable to students
126,Error,This course is currently unavailable to students
127,Error,Can't find data record in database table course.
128,Success,[Reg] Dasar-dasar Pemrograman 1 (D) - Gasal 2016/2017
129,Success,[Reg] Dasar-dasar Pemrograman 1 (E) - Gasal 2016/2017
130,Error,This course is currently unavailable to students
131,Error,This course is currently unavailable to students
132,Success,[EKS] Knowledge Management - Gasal 2016/2017
133,Success,[Reg] MPK Bahasa Inggris - Gasal 2016/2017
134,Success,[Reg] MPK Agama - Gasal 2016/2017
135,Success,Seleksi Tim Inti ACM ICPC Regional 2016
136,Error,This course is currently unavailable to students
137,Success,Dokumentasi Scele
138,Success,Pengembangan Mata Ajar Sistem Interaksi
139,Error,This course is currently unavailable to students
140,Success,"[SI.REG] Proyek Pengembangan Sistem Informasi (A,B,C) - Genap 2016/2017"
141,Success,"Matematika Dasar 1 (A,B,C,D)"
142,Success,"[Reg] Statistika & Probabilitas (A,B,C) - Genap 2016/2017"
143,Success,[Reg] Matematika Diskret 1 (J)
144,Success,[Reg] Aljabar Linier
145,Success,[Reg] Dasar-dasar Pemrograman 1 (J)
146,Success,"[Reg] Dasar-dasar Pemrograman 2 (A,B,C,D,E,F)"
147,Error,This course is currently unavailable to students
148,Success,"[Reg] Matematika Diskret 2 (A,B,C,D,E,F)"
149,Success,[Reg] Perancangan & Pemrograman Web (J)
150,Error,Can't find data record in database table course.
151,Success,"[Reg] Basis Data (A,B,C,D)"
152,Success,[Reg] Kerja Praktik (J)
153,Success,[Reg] Komputer & Masyarakat - Genap 2016/2017
154,Error,This course is currently unavailable to students
155,Success,"[Reg] Metodologi Penelitian & Penulisan Ilmiah (A,B,C,D,E)"
156,Success,"[Reg] MPKT-A (B,C,D,E,F,G)"
157,Success,[KI] Aljabar Linier
158,Success,[KI] Dasar-dasar Pemrograman 2
159,Success,[KI] Matematika Diskret 2
160,Success,[KI] Computer Networks
161,Success,[KI] Basis Data
162,Success,[KI] Software Engineering
163,Success,[KI] Advanced Programming
164,Success,[KI] Intelligent Systems
165,Success,[KI] Matematika Dasar 2
166,Success,[KI] 2016 Genap Pengantar Organisasi Komputer
167,Success,"[Reg] Data Science & Analytics (A,B)"
168,Success,"[Reg] Advanced Programming (A,B)"
169,Success,[Reg] Rekayasa Perangkat Lunak (J)
170,Success,"[Reg] 2016 Genap Pengantar Organisasi Komputer (A,B,C)"
171,Error,This course is currently unavailable to students
172,Success,[Reg] Pemrograman Parallel
173,Success,[Reg] Sistem Cerdas (J)
174,Success,"[Reg] Analisis Numerik (A,B,C)"
175,Success,[Reg] Teori Informasi
176,Success,"[Reg] Proyek Perangkat Lunak (A,B,C,D)"
177,Success,[Reg] Pemelajaran Mesin
178,Success,[Reg] Pengolahan Bahasa Manusia
179,Success,[Reg] Desain & Analisis Algoritma
180,Success,[Reg] Grafika Komputer
181,Success,[Reg] Kriptografi & Keamanan Informasi
182,Success,[Reg] Pemrograman Logika
183,Success,[Reg] Metode Formal
184,Success,[Reg] Topik Khusus Teknologi Perangkat Lunak - Genap 2016/2017
185,Success,[Reg] Data Mining
186,Success,[Reg] Robotika
187,Success,[Reg] Computational Geometry
188,Success,[Reg] Pengantar Sistem Dijital (J)
189,Success,[MIK] Metodologi Penelitian
190,Success,[MIK] Teori Komputasi Lanjut
191,Success,[MIK] Sistem Informasi Lanjut
192,Success,[MIK] Perolehan Informasi Lanjut
193,Success,[MIK] Biomedical Informatics Lanjut
194,Success,[MIK] Analisis Data Spasial Lanjut
195,Success,[MIK] Keamanan Informasi Lanjut
196,Success,[MIK] Rancangan Sistem Dijital Lanjut
197,Success,[MIK] Teknologi Basis Data Lanjut
198,Success,[Eks] Pemrograman Skala Enterprise
199,Success,[Eks] Analisis dan Perancangan Sistem (A)
200,Success,[Eks] Penambangan Data & Inteligensia Bisnis
201,Error,This course is currently unavailable to students
202,Success,[Eks] Sistem-Sistem Perusahaan
203,Success,[Eks] Dasar-dasar Pemrograman 1
204,Success,[Eks] Dasar-dasar Pemrograman 2
205,Error,This course is currently unavailable to students
206,Success,[Eks] Basis Data
207,Success,"[Eks] Komunikasi Bisnis dan Teknis (A,B,C)"
208,Success,[Eks] Sistem Informasi Akuntansi dan Keuangan
209,Success,[Eks] Manajemen Layanan TI
210,Success,[Eks] Manajemen Sistem Informasi
211,Success,"[SI.Reg] Manajemen Infrastruktur TI (A,B)"
212,Success,[SI.Reg] Analitika Media Sosial (A)
213,Success,"[SI.Reg] Sistem-Sistem Perusahaan (A,B)"
214,Success,[SI.Reg] Persamaan Diferensial Genap 2016/2017
215,Success,"[SI.Reg] Prinsip-Prinsip Sistem Informasi (A,B,C)"
216,Success,"[SI.Reg] 2016 Genap Dasar-Dasar Arsitektur Komputer, CSIM601251 (A,B,C)"
217,Success,[SI.Reg] Supply Chain Management (A)
218,Success,"[SI.Reg] E-Commerce (A,B)"
219,Success,"[SI.Reg] Komunikasi Bisnis dan Teknis (A,B,C)"
220,Error,Can't find data record in database table course.
221,Success,[SI.Reg] Sistem Informasi Akuntansi dan Keuangan -Genap2016-2017
222,Success,[SI.Reg] Konfigurasi ERP
223,Error,This course is currently unavailable to students
224,Success,"[SI.Reg] Manajemen Layanan TI (A,B)"
225,Success,"[SI.Reg] Knowledge Management (A,B)"
226,Success,[SI.Reg] Topik Khusus Bidang Minat Sistem Enterprises
227,Success,[SI.Reg] Enterprise Application Integration
228,Success,"[SI.Reg] Technopreneurship (A,B)"
229,Error,This course is currently unavailable to students
230,Error,This course is currently unavailable to students
231,Error,This course is currently unavailable to students
232,Error,Can't find data record in database table course.
233,Success,Teori Bahasa & Automata (C)
234,Success,[Eks] Pengajaran Berbantuan Komputer
235,Success,[Reg] Metodologi Penelitian & Penulisan Ilmiah (D)
236,Success,Public Questionnaire
237,Error,This course is currently unavailable to students
238,Success,Pelatihan Pengembangan Aplikasi Android
239,Success,[Reg] Kerja Praktik - Genap 2016/2017
240,Error,This course is currently unavailable to students
241,Error,Can't find data record in database table course.
242,Error,Can't find data record in database table course.
243,Success,Matematika Diskret 1
244,Success,Matematika Dasar 1
245,Success,Workshop Riset SI - LAB IM 2017
246,Error,Can't find data record in database table course.
247,Success,"Matematika Dasar 1 (A,B,C)"
248,Success,[Reg] Statistika & Probabilitas - Gasal 2017/2018
249,Success,"[Reg] Matematika Diskret 1 (A,B,C,D,E,F)"
250,Success,"[Reg] Aljabar Linier (A,B,C,E)"
251,Error,This course is currently unavailable to students
252,Success,[Reg] Dasar-dasar Pemrograman 2 (J)
253,Error,This course is currently unavailable to students
254,Error,This course is currently unavailable to students
255,Success,"[Reg] Perancangan & Pemrograman Web (A,B,C,D,E,F)"
256,Success,[Reg] Sistem Operasi (I)
257,Success,[Reg] Basis Data (J)
258,Success,"[Reg] Rekayasa Perangkat Lunak (A,B)"
259,Success,"[Reg] Kerja Praktik (A,B,C,D,E,F,G)"
260,Success,"[Reg] Komputer & Masyarakat (A,B) Gasal 2017/2018"
261,Success,[Reg] Metodologi Penelitian & Penulisan Ilmiah
262,Success,"[Reg] MPKT-B (A,B,C,D,E)"
263,Success,[KI] Statistika & Probabilitas
264,Success,[KI] Fisika Dasar 1
265,Success,[KI] Matematika Diskret 1
266,Success,Foundations of Programming 1 [Dasar-Dasar Pemrograman 1] (KKI 2017)
267,Error,This course is currently unavailable to students
268,Success,[KI] Perancangan & Pemrograman Web
269,Error,Can't find data record in database table course.
270,Success,[KI] 2017 Gasal Pengantar Sistem Dijital
271,Success,[KI] Teori Bahasa & Automata
272,Success,[KI] Pemrograman Sistem
273,Success,[KI] Analisis Numerik
274,Success,[KI] Proyek Perangkat Lunak
275,Success,[KI] Metodologi Penelitian & Penulisan Ilmiah
276,Success,[KI] Matematika Dasar 1
277,Error,Can't find data record in database table course.
278,Success,[Reg] Pemrograman Fungsional
279,Success,[Reg] 2017 Gasal Pengantar Sistem Dijital (J)
280,Success,"[Reg] Matematika Dasar 2 (A,B,C)"
281,Success,[Reg] 2017 Gasal Pengantar Organisasi Komputer (J)
282,Success,"[Reg] Pemrograman Sistem (A,B)"
283,Success,"[Reg] Sistem Cerdas (A,B)"
284,Success,[Reg] Pengolahan Citra - Gasal 2017/2018
285,Error,This course is currently unavailable to students
286,Success,[Reg] Embedded Systems
287,Error,This course is currently unavailable to students
288,Success,[Reg] Teknik Kompilator
289,Success,"[Reg] Desain & Analisis Algoritma (A,B)"
290,Success,[Reg] Game Development
291,Success,[Reg] Penjaminan Mutu Perangkat Lunak
292,Success,[Reg] Komputasi Lunak
293,Success,[Reg] Perolehan Informasi
294,Success,[Reg] Semantic Web
295,Success,[Reg] Geometric Modelling
296,Error,This course is currently unavailable to students
297,Success,[Reg] Pengolahan Sinyal Dijital
298,Success,[Reg] Sistem Terdistribusi
299,Success,[Reg] Ubiquitous & Net-Centric Computing
300,Success,[Reg] Pengajaran Berbantuan Komputer (A)
301,Success,[Reg] Sistem Informasi Geografis
302,Success,[Reg] Topik Khusus Arsitektur & Infrastruktur
303,Success,[Eks] Analisis dan Perancangan Sistem
304,Success,[Eks] Penambangan Data & Inteligensia Bisnis
305,Success,[Eks] Dasar-dasar Pemrograman 1
306,Success,[Eks] Dasar-dasar Pemrograman 2
307,Error,Can't find data record in database table course.
308,Error,This course is currently unavailable to students
309,Success,[Eks] Sistem Interaksi
310,Success,[Eks] Administrasi Bisnis
311,Success,[Eks] Prinsip-Prinsip Sistem Informasi
312,Success,[Eks] Dasar-Dasar Arsitektur Komputer
313,Error,This course is currently unavailable to students
314,Success,[Eks] Manajemen Proyek TI
315,Success,[Eks] Jaringan Komunikasi Data
316,Success,[Eks] Manajemen Sumber Daya Manusia
317,Success,[Eks] Metodologi Penelitian & Penulisan Ilmiah
318,Success,[Eks] Manajemen Keamanan Informasi
319,Error,This course is currently unavailable to students
320,Error,This course is currently unavailable to students
321,Error,Can't find data record in database table course.
322,Success,[MIK] Metodologi Penelitian (A)
323,Success,[MIK] Pengolahan Citra Lanjut
324,Success,[MIK] Verifikasi Perangkat Lunak Lanjut
325,Success,[MIK] Komputasi Paralel Lanjut
326,Error,This course is currently unavailable to students
327,Success,[MIK] Pemelajaran Mesin Lanjut
328,Success,[MIK] Jaringan Komputer Lanjut
329,Success,[MIK] Manajemen Pengetahuan Lanjut
330,Success,[MIK] Rekayasa Perangkat Lunak Lanjut
331,Success,[MIK] E-Commerce Lanjut
332,Success,"[SI.Reg] Arsitektur dan Pemrograman Aplikasi Perusahaan (A,B,C)"
333,Success,"[SI.Reg] Analisis dan Perancangan Sistem (A,B,C)"
334,Success,[SI.Reg] Kesehatan Elektronik (A)
335,Success,[SI.Reg] Penambangan Data & Inteligensia Bisnis (A)
336,Success,[SI.Reg] Pengelolaan Data Besar - 2017
337,Success,"[SI.Reg] Sistem Interaksi (A,B)"
338,Success,"[SI.Reg] Administrasi Bisnis (A, B, C)"
339,Success,[SI.Reg & Eks] Prinsip-Prinsip Manajemen
340,Success,"[SI.Reg] Manajemen Proyek TI (A,B)"
341,Error,This course is currently unavailable to students
342,Success,[SI.Reg] Customer Relationship Management
343,Success,[SI.Reg] Manajemen Sumber Daya Manusia (A)
344,Success,[SI.Reg] E-Commerce
345,Success,[SI.Reg] Manajemen Keamanan Informasi
346,Success,[SI.Reg] Teknologi Mobile (A)
347,Error,This course is currently unavailable to students
348,Success,"[SI.Reg] Manajemen Sistem Informasi (A,B)"
349,Error,This course is currently unavailable to students
350,Success,[SI.Reg] Topik Khusus Bidang Minat Sistem Enterprises (A)
351,Success,[SI.Reg] Technopreneurship (A)
352,Error,This course is currently unavailable to students
353,Success,"[Reg] Dasar-Dasar Pemrograman 1 (B,E)"
354,Error,This course is currently unavailable to students
355,Error,This course is currently unavailable to students
356,Success,Seleksi Tim Inti ACM ICPC Regional 2017
357,Error,Can't find data record in database table course.
358,Success,[Reg] Pengajaran Berbantuan Komputer (B)
359,Success,[SI.Reg] Penambangan Data & Inteligensia Bisnis (B)
360,Success,Kerja Praktik Tahun Ajaran - Genap 2017/2018
361,Success,"[SI.REG] Proyek Pengembangan Sistem Informasi (A,B,C) 2017/2018"
362,Success,"Matematika Dasar 1 (A,B,C)"
363,Success,[Reg] Statistika & Probabilitas - Genap 2017/2018
364,Success,[Reg] Matematika Diskret 1 (J)
365,Success,[Reg] Aljabar Linier Genap 2017/2018
366,Success,[Reg] Dasar-dasar Pemrograman 1 (J)
367,Success,"[Reg] Dasar-dasar Pemrograman 2 (A,B,C,D,E,F)"
368,Error,This course is currently unavailable to students
369,Success,"[Reg] Matematika Diskret 2 (A,B,C,D,E,F)"
370,Success,[Reg] Perancangan & Pemrograman Web (J)
371,Error,This course is currently unavailable to students
372,Success,"[Reg] Basis Data (A,B,C,D,E) Genap 2017/2018"
373,Success,[Reg] Kerja Praktik (J)
374,Success,"[Reg] Komputer & Masyarakat (A,B) Genap 2017/2018"
375,Success,"[Reg] Metodologi Penelitian & Penulisan Ilmiah (A,B,C,D)"
376,Success,[KI] Aljabar Linier
377,Success,[KI] Programming Foundations 2
378,Success,[KI] Matematika Diskret 2
379,Success,[KI] Computer Networks
380,Success,[2017-2018-2 - KI] Basis Data
381,Success,[2017-2018-2-KI] Software Engineering
382,Success,[KI] Advanced Programming
383,Error,This course is currently unavailable to students
384,Success,[KI] Matematika Dasar 2
385,Success,[KI] 2017 Genap Pengantar Organisasi Komputer
386,Success,"[Reg] Data Science & Analytics (A,B)"
387,Success,"[Reg] Advanced Programming (A,B,C)"
388,Error,This course is currently unavailable to students
389,Success,"[Reg] 2017 Genap Pengantar Sistem Dijital (A,B,C)"
390,Success,[Reg] Pengantar Organisasi Komputer (J)
391,Error,This course is currently unavailable to students
392,Success,[Reg] Pemrograman Parallel
393,Success,[Reg] Sistem Cerdas (J)
394,Success,[Reg] Jaringan Komputer (J)
395,Success,"[Reg] Analisis Numerik (A,B,C)"
396,Success,[Reg] Teori Informasi
397,Success,"[Reg] Proyek Perangkat Lunak (A,B,C,D)"
398,Success,[Reg] Pemelajaran Mesin - Genap 2017/2018
399,Success,[Reg] Pengolahan Bahasa Manusia
400,Success,[Reg] Desain & Analisis Algoritma
401,Success,[Reg] Grafika Komputer
402,Error,This course is currently unavailable to students
403,Success,[Reg] Layanan & Aplikasi Web
404,Success,[Reg] Pemrograman Logika
405,Success,[Reg] Metode Formal
406,Success,[Reg] Topik Khusus Teknologi Perangkat Lunak - Genap 2017/2018
407,Success,[Reg] Robotika
408,Success,[Reg] Pengajaran Berbantuan Komputer
409,Error,This course is currently unavailable to students
410,Success,[Eks] Sistem-Sistem Perusahaan
411,Success,[Eks] Dasar-dasar Pemrograman 1
412,Success,[Eks] Dasar-dasar Pemrograman 2
413,Error,This course is currently unavailable to students
414,Success,[Eks] Basis Data
415,Success,[Eks] Dasar-Dasar Arsitektur Komputer
416,Success,[Eks] Customer Relationship Management
417,Success,[Eks] E-Commerce
418,Success,[Eks] Komunikasi Bisnis dan Teknis
419,Success,[Eks] Sistem Informasi Akuntansi dan Keuangan
420,Success,[Eks] Manajemen Layanan TI
421,Success,[Eks] Knowledge Management
422,Success,[Eks] Manajemen Sistem Informasi
423,Success,[MIK] Metodologi Penelitian
424,Error,This course is currently unavailable to students
425,Success,[MIK] Sistem Informasi Lanjut
426,Success,[MIK] Perolehan Informasi Lanjut
427,Success,[MIK] Biomedical Informatics Lanjut
428,Success,[MIK] Analisis Data Spasial Lanjut
429,Success,[MIK] Keamanan Informasi Lanjut
430,Success,[MIK] Rancangan Sistem Dijital Lanjut
431,Success,[MIK] Teknologi Basis Data Lanjut
432,Success,"[SI.Reg] Komunikasi Bisnis dan Teknis (A,B) 2017/2018"
433,Success,[SI.Reg] E-Commerce (A)
434,Success,[SI.Reg] Supply Chain Management 2017/2018
435,Success,"[SI.Reg] Dasar-Dasar Arsitektur Komputer (A,B,C)"
436,Success,[SI.Reg] Persamaan Diferensial Genap 2017/2018
437,Success,"[SI.Reg] Sistem-Sistem Perusahaan (A,B, C)"
438,Success,"[SI.Reg] Statistika Terapan (A,B)"
439,Success,[SI.Reg] Analitika Media Sosial (A)
440,Success,"[SI.Reg] Manajemen Infrastruktur TI (A,B)"
441,Success,"[SI.Reg] Knowledge Management (A,B)"
442,Success,"[SI.Reg] Manajemen Layanan TI (A,B)"
443,Error,This course is currently unavailable to students
444,Success,[SI.Reg] Konfigurasi ERP
445,Success,[SI.Reg] SIAK Genap 2017/2018
446,Success,"[SI.Reg] Technopreneurship (A,B)"
447,Success,[SI.Reg] Topik Khusus Bidang Minat Sistem Enterprises
448,Success,[SI.Reg] Enterprise Application Integration
449,Success,[Eks] Arsitektur dan Pemrograman Aplikasi Enterprise
450,Success,Kerja Praktik Tahun Ajaran - Gasal 2018/2019
451,Error,This course is currently unavailable to students
452,Success,[SP] Statistika & Probabilitas - SP 2017/2018
453,Error,This course is currently unavailable to students
454,Success,Pengembangan Dosen 2018
455,Success,"Matematika Dasar 1 (A,B)"
456,Success,[Reg] Statistika & Probabilitas
457,Success,"[Reg] Matematika Diskret 1 (A,B,C,D,E,F)"
458,Error,This course is currently unavailable to students
459,Error,This course is currently unavailable to students
460,Error,This course is currently unavailable to students
461,Error,This course is currently unavailable to students
462,Success,"[Reg] Sistem Cerdas (A,B,C)"
463,Error,This course is currently unavailable to students
464,Success,[Reg] Matematika Diskret 2 (J)
465,Success,"[Reg] Perancangan & Pemrograman Web (A,B,C,D,E,F)"
466,Success,[Reg] Basis Data (J)
467,Success,"[Reg] Kerja Praktik (A,B,C,E,F)"
468,Success,"[Reg] Komputer & Masyarakat (A,B) Gasal 2018/2019"
469,Success,[Reg] Metodologi Penelitian & Penulisan Ilmiah
470,Error,This course is currently unavailable to students
471,Success,[KI] Statistika & Probabilitas
472,Success,[KI] Matematika Diskrit 1
473,Error,This course is currently unavailable to students
474,Success,[KI] Perancangan & Pemrograman Web
475,Success,[KI] 2018 Gasal Pengantar Sistem Dijital
476,Error,This course is currently unavailable to students
477,Success,[KI] Analisis Numerik
478,Success,[KI] Proyek Perangkat Lunak
479,Success,[KI] Metodologi Penelitian & Penulisan Ilmiah
480,Success,[KI] Matematika Dasar 1
481,Error,This course is currently unavailable to students
482,Success,[KI] Pemrograman Sistem
483,Success,"[Reg] Matematika Dasar 2 (A,B,C)"
484,Success,"[Reg] 2018 Gasal Pengantar Organisasi Komputer (A,B,C)"
485,Success,[Reg] Pemrograman Fungsional
486,Error,This course is currently unavailable to students
487,Success,[Reg] Bioinformatika Gasal 2018/2019
488,Success,[Reg] 2018 Gasal Pengantar Sistem Dijital (J)
489,Success,"[Reg] Rekayasa Perangkat Lunak (A,B)"
490,Error,This course is currently unavailable to students
491,Error,This course is currently unavailable to students
492,Success,[Reg] Embedded Systems
493,Error,Can't find data record in database table course.
494,Success,[Reg] Teknik Kompilator
495,Success,[Reg] Simulasi & Pemodelan Gasal 2018/2019
496,Success,[Reg] Game Development
497,Success,[Reg] Penjaminan Mutu Perangkat Lunak
498,Success,"[Reg] Desain & Analisis Algoritma (A,B)"
499,Success,[Reg] Pengolahan Multimedia Gasal 2018/2019
500,Success,[Reg] Perolehan Informasi
501,Success,[Reg] Semantic Web - Gasal 2018/2019
502,Success,[Reg] Sistem Terdistribusi
503,Success,[Reg] Ubiquitous & Net-Centric Computing
504,Success,[Reg] Sistem Informasi Geografis
505,Error,Can't find data record in database table course.
506,Success,[Reg] Pengolahan Sinyal Dijital
507,Success,[Reg] Pengajaran Berbantuan Komputer (A)
508,Success,[Reg] Topik Khusus Arsitektur & Infrastruktur
509,Success,[Reg] Topik Khusus Teknologi Perangkat Lunak (A)- Gasal 2018/2019
510,Success,[Reg] Data Mining - Gasal 2018/2019
511,Success,[Eks] Analisis dan Perancangan Sistem
512,Success,[Eks] Penambangan Data & Inteligensia Bisnis
